langcode,title,field_a2zpublisher,field_a2zsubject,field_a2zurl,field_author,field_isbn,field_vol,field_year
,"Natural Fibers, Biopolymers, and Biocomposites",Taylor & Francis ,Physical Sciences,http://www.taylorfrancis.com/books/Physical Sciences,"Edited ByAmar K. Mohanty, Manjusri Misra",9780429211607,,2005
,Natural Language and Logic,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-53082-7,Rudi Studer,9783540466536,459,1990
,Natural Language at the Computer,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-50011-1,Albrecht Blaser,9783540458852,320,1988
,Natural Language Communication with Computers,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0031367,Leonard Bolc,9783540357650,63,1978
,Natural Language Data Management and Interfaces,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-01862-6,"Yunyao Li, Davood Rafiei",9783031018626,,2018
,Natural Language Interfaces to Databases,Synthesis Collection of Technology (R0),Human Computer Interaction,https://doi.org/10.1007/978-3-031-45043-3,"Yunyao Li, Dragomir Radev, Davood Rafiei",9783031450433,,2024
,Natural Language Processing and Chinese Computing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60450-9,"Xiaodan Zhu, Min Zhang, Yu Hong, Ruifang He",9783030604509,,2020
,Natural Language Processing and Chinese Computing,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-60457-8,"Xiaodan Zhu, Min Zhang, Yu Hong, Ruifang He",9783030604578,,2020
,Natural Language Processing and Information Systems,Springer,Computer Science,http://link.springer.com/openurl?genre=book&isbn=978-3-030-51310-8,"Elisabeth Métais, Farid Meziane, Helmut Horacek, Philipp Cimiano",9783030513108,,2020
,Natural Language Processing for Historical Texts,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02146-6,Michael Piotrowski,9783031021466,,2012
,Natural Language Processing for Social Media,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02167-1,"Atefeh Farzindar, Diana Inkpen",9783031021671,2nd ed.,2018
,Natural Language Processing for Social Media,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02175-6,"Anna Atefeh Farzindar, Diana Inkpen",9783031021756,3rd ed.,2020
,Natural Language Processing for the Semantic Web,Synthesis Collection of Technology (R0),"Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-79474-2,"Diana Maynard, Kalina Bontcheva, Isabelle Augenstein",9783031794742,,2017
,Natural Language Processing for Social Media,Synthesis Collection of Technology (R0),Computing and Processing,https://doi.org/10.1007/978-3-031-02157-2,Atefeh Farzindar,9783031021572,,2015
,Nature of Computation,Oxford University Press,"Mathematical and Statistical Physics, Quantum Computing",https://doi.org/10.1093/acprof:oso/9780199233212.001.0001,"Cristopher Moore, Stephan Mertens",9780191775079,,2011
,Nature of Life,Cambridge University Press,"Life Sciences,Philosophy, Evolutionary Biology,Philosophy of Science",https://doi.org/10.1017/CBO9780511730191,Bedau/Cleland,9780511730191,,2012
,Nature of Qualitative Evidence,SAGE Publications Ltd,Qualitative research,https://doi.org/10.4135/9781412986236,Janice M. Morse; Anton J. Kuzel; Janice Swanson,9781412986236,,2001
,Nature of the Elementary Particle,Springer,Physics,http://dx.doi.org/10.1007/3-540-08857-1,Malcolm H. MacGregor,9783540358107,81,1978
,Navier-Stokes Equations II — Theory and Numerical Methods,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0090329,"John G. Heywood, Kyûya Masuda, Reimund Rautmann, Vsevolod A. Solonnikov",9783540474982,1530,1992
,Navier-Stokes Equations Theory and Numerical Methods,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0086050,"John G. Heywood, Kyûya Masuda, Reimund Rautmann, Vsevolod A. Solonnikov",9783540471417,1431,1990
,Navier–Stokes Problem,Synthesis Collection of Technology (R0),General Topics for Engineers,https://doi.org/10.1007/978-3-031-02431-3,Alexander G. Ramm,9783031024313,,2021
,Near Field Communication,Synthesis Collection of Technology (R0),"Communication, Networking and Broadcast Technologies, Components, Circuits, Devices and Systems, Computing and Processing, General Topics for Engineers",https://doi.org/10.1007/978-3-031-02036-0,"Sheli McHugh, Kristen Yarmey",9783031020360,,2014
,Nearby Molecular Clouds,Springer,Physics,http://dx.doi.org/10.1007/3-540-15991-6,Guy Serra,9783540396963,237,1985
,Nearly Integrable Infinite-Dimensional Hamiltonian Systems,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0092243,Sergej B. Kuksin,9783540479208,1556,1993
,Nearly Projective Boolean Algebras,Springer,Mathematics,http://dx.doi.org/10.1007/BFb0094103,"Lutz Heindorf, Sakaé Fuchino, Leonid B. Shapiro",9783540491019,1596,1994
,Need Analysis,SAGE Publications Ltd,Social surveys,https://doi.org/10.4135/9781412985260,John A. McKillip,9781412985260,,1987
,Needs and Feasibility,Synthesis Collection of Technology (R0),Engineering Profession,https://doi.org/10.1007/978-3-031-79958-7,"Caroline Baillie, Eric Feinblatt, Thimothy Thamae, Emily Berrington",9783031799587,,2010
,Neem: Today and in the New Millennium,Springer Netherlands,"Plant Pathology, Evolutionary Biology, Plant Sciences",http://link.springer.com/10.1007/1-4020-2596-3,"Koul,Opender",9781402025969,,2004
,Negation and Control in Prolog,Springer,Computer Science,http://dx.doi.org/10.1007/BFb0021681,Lee Naish,9783540448587,238,1986
,Negative Quantum Channels,Synthesis Collection of Technology (R0),"Engineered Materials, Dielectrics and Plasmas",https://doi.org/10.1007/978-3-031-02517-4,James M. McCracken,9783031025174,,2014
,Nested Relations and Complex Objects in Databases,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-51171-7,"S. Abiteboul, P. C. Fischer, H. -J. Schek",9783540461753,361,1989
,Nested Universal Relation Database Model,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-55493-9,M. Levene,9783540471103,595,1992
,Net Theory and Applications,Springer,Computer Science,http://dx.doi.org/10.1007/3-540-100016,Wilfried Brauer,9783540393221,84,1980
